id,Car,Model,Vin,year,DateSales,Address
75,Plymouth,Voyager,KNDJT2A28D7366650,1992,2018-03-10,Room 308
76,Chevrolet,Venture,WAUEH78E86A882865,2004,2021-12-04,
77,Chevrolet,Avalanche,1FTSW3A58AE029394,2011,,
78,BMW,7 Series,WAUUL78E75A719486,2010,2007-09-12,Room 1279
79,Mitsubishi,Eclipse,1G6AL1R35F0445909,2004,2007-03-09,
80,Honda,CR-V,WAUKFAFL1EA173104,2009,2000-08-30,
81,Mercury,Grand Marquis,3C6TD5FTXCG464498,2006,,Apt 511
82,Lexus,GS,5UXWX5C50CL733404,2005,2016-03-02,
83,Jeep,Wrangler,3LNDL2L30BR877029,1992,2021-11-05,17th Floor
84,Acura,Integra,3D7JB1EK8AG123756,1999,2006-06-07,
85,Cadillac,Eldorado,1VWAH7A31DC257488,1993,,Apt 1347
86,Mazda,Tribute,WBXPA93456W427424,2011,2012-08-21,Apt 1017
87,Volkswagen,GTI,3N1CN7AP8EK468743,2007,,
88,Renault,Alliance,1FMCU4K39BK097375,1983,,
89,Land Rover,Discovery,WBAWR33569P757186,2004,2013-10-19,Suite 88
90,Kia,Rondo,WBANN73516B288032,2009,,
91,Hyundai,Sonata,WVGAV7AX5AW266702,1995,2000-06-15,PO Box 54388
92,Ford,E-Series,1G6KD57YX1U940678,,2013-05-07,
93,Hyundai,Sonata,1D4PU7GXXAW248269,2007,2017-08-06,
94,Pontiac,Gemini,WAUWGAFB8BN691866,1987,2018-09-21,
95,Cadillac,XLR,WAUSFAFL3CA971827,,,Suite 60
96,Audi,riolet,5TDDCRFH3FS263227,1996,2010-08-21,Apt 157
97,Volkswagen,Jetta III,JN8CS1MU0DM977166,1994,2011-01-20,
98,Saab,9000,WAUNF68P66A258967,1998,,Apt 1145
99,Mitsubishi,L300,3N1AB7AP9FY681800,1989,2016-08-25,Room 609
100,Bentley,Arnage,WUAPV54B83N399727,2006,2004-04-11,20th Floor
101,Honda,Civic,2G4GP5EC8B9201675,1985,2007-09-05,2nd Floor
102,Volkswagen,Touareg,19UUA9F50DA071447,2004,2012-06-08,
103,BMW,X3,3FA6P0PUXFR736831,2009,2022-07-15,PO Box 97964
104,Jeep,Grand Cherokee,WAUHFAFL9CA781878,1999,,Suite 74
105,Plymouth,Sundance,WDDHF8JB2DA831375,1993,,11th Floor
106,Toyota,Tundra,WVGEF9BPXED403711,2008,2016-11-22,
107,Isuzu,Oasis,3N1CN7AP8EL233978,1996,2022-10-24,Room 807
108,Volkswagen,Passat,3C63D3EL5CG368980,1996,2003-10-11,Suite 37
109,Audi,A8,19UUA76628A530626,2010,2011-01-24,
110,Mercedes-Benz,CLK-Class,WBANF73566C929683,2002,2021-05-21,
111,Lexus,ES,WVWED7AJXBW293724,1998,2007-01-07,
112,Nissan,300ZX,SALFR2BNXBH179701,1992,,Suite 62
113,Chevrolet,S10,SAJWA1C74D8336071,1993,2014-09-03,
114,Acura,NSX,WDDGF5EB8AR332467,2001,2021-10-12,
115,Kia,Sportage,JN1AZ4FH4FM951045,,2017-06-07,Suite 79
116,Saturn,S-Series,3C63DRMLXCG430278,1997,,PO Box 37234
117,Ford,Escort,WAURV78TX8A435479,1998,,
118,Volkswagen,Touareg,4T1BF1FK9EU190771,2006,2015-09-03,Room 1505
119,Chevrolet,Avalanche,1N6BF0KX0FN188996,2007,,PO Box 60415
120,GMC,Safari,WAUEG98E46A806994,1995,,
121,Mazda,CX-9,WAUFFAFL3FA714849,2008,2009-05-21,
122,Audi,A6,2D4RN5D12AR207430,2000,,
123,Ford,Escort,TRUWC28N111774983,1996,,PO Box 86056
124,BMW,600,1FTEW1CM1DK532065,1957,2000-08-06,Room 1850
125,Chevrolet,Malibu Maxx,SAJWA0JH7EM056837,2006,2022-06-07,
126,Chevrolet,K5 Blazer,WA1C8AFP3EA415289,1995,2007-07-22,
127,Ford,Econoline E250,KL4CJESB3FB624257,2000,2013-04-28,
128,Chrysler,LHS,5N1AT2MK0EC025985,1996,,
129,Honda,Odyssey,1N6AF0KY9EN626742,,2010-01-09,
130,Dodge,Neon,WBSVA93588E856815,,,Room 1866
131,Jeep,Grand Cherokee,2FMDK3GC0AB563426,2010,2003-02-06,
132,Suzuki,Swift,WAULD54B82N268047,2000,,17th Floor
133,Pontiac,Firebird,1D4PT6GX0AW446680,1995,,Suite 48
134,Toyota,RAV4,JH4DC53083S697720,,2005-04-09,10th Floor
135,Volvo,C70,2T2BK1BA8FC460063,2000,2022-04-15,
136,Subaru,Impreza WRX,KM8JT3AF0EU483825,2011,,
137,Mercedes-Benz,R-Class,1C6RD6GPXCS020791,2006,2011-10-26,
138,BMW,X6,WAUVT54B14N397973,,2009-10-20,Apt 1454
139,GMC,Rally Wagon 2500,WVGFG9BP8BD440060,1994,2014-03-27,
140,Ferrari,458 Italia,WA1MYBFE7AD114557,,2003-06-05,PO Box 579
141,Mazda,B-Series Plus,SCBLF44J97C812866,2001,2012-11-20,
142,Dodge,Dakota Club,WP1AA2A28CL436185,,2004-12-18,PO Box 8667
143,Honda,Prelude,WBSBR93404P520609,,2010-09-24,Room 900
144,Hyundai,Elantra,19XFB2F50EE917652,2007,,Apt 337
145,Honda,Odyssey,JTEBU5JRXA5139480,2001,,
146,Acura,TSX,WBA8Z5C53FD872085,2008,,14th Floor
147,Chevrolet,Blazer,1C3CCBAB9DN886008,2004,2004-10-22,
148,BMW,6 Series,1N6AF0LY9FN330894,1989,,
149,Audi,A4,1GKS1KE03DR195737,2001,,
150,Chevrolet,Silverado 3500HD,JN1CV6EK6EM038346,2006,2001-01-05,
151,Chevrolet,Suburban 2500,1FMJU1G52AE184726,2012,2013-08-24,PO Box 8110
152,Mercedes-Benz,CLS-Class,KL4CJASB7FB625338,2006,,
153,Mercedes-Benz,SLK-Class,3C4PDCGBXFT421005,2011,,
154,Ford,Mustang,1NXBE4EE2AZ050328,,2007-10-15,
155,Mazda,MPV,WAUBF48H07K111880,1997,2018-05-03,Apt 1887
156,Volvo,C70,3D73M4ELXAG163043,2012,2006-03-02,
157,Nissan,Quest,1G6DC8EY4B0882477,,2012-12-17,
158,Land Rover,LR4,5N1AA0ND9FN653687,2011,,1st Floor
159,Dodge,Ram 3500,4T1BF1FK5EU164622,2004,,
160,Toyota,Paseo,1C3CDZBG3CN809603,1993,,
161,Chevrolet,Express,WBAKC8C53AC902886,2006,,
162,Land Rover,Defender,WDDGF4HB3DG020417,1995,2021-03-19,Apt 1144
163,Daewoo,Lanos,KMHTC6AD2CU156851,1999,,Suite 3
164,Ford,F-Series,5UXFH0C54BL084933,,2002-04-22,Suite 41
165,Pontiac,Grand Prix,JM1NC2JF4D0707197,1967,2002-12-16,Apt 1155
166,Ferrari,612 Scaglietti,JN1AY1AP0CM071018,,2009-07-17,Room 447
167,Smart,Fortwo,WVWAA7AJ1CW373860,2009,,Apt 1786
168,Bentley,Continental Flying Spur,JHMFA3F25AS067134,2008,2007-05-16,Suite 92
169,Volvo,S80,3C6TD5ET5CG614082,,2005-11-29,
170,Ford,Explorer,WAULC58E02A718997,1992,,
171,Infiniti,QX56,WAU3FAFR2AA878190,2011,2014-04-20,13th Floor
172,Chrysler,Concorde,YV4852CZ3A1274683,,,Apt 491
173,Pontiac,G3,4A4JM2AS5BE737696,2010,2014-09-01,
174,Ford,E350,1GYS4CEF1BR990967,2004,,
175,Mazda,Mazda6,3N1CN7APXEK881893,2012,,
176,Ford,Crown Victoria,5J8TB3H34DL662015,,2022-09-22,
177,Mercury,Cougar,WAUAFAFL7FA983091,,2021-02-03,
178,Isuzu,i-Series,WVWGD7AJ5EW797577,2007,2014-10-16,14th Floor
179,Honda,Prelude,1N6BF0KM7FN830989,2000,2017-06-28,Suite 20
180,Ram,1500,JN1CV6EK5FM434964,2012,,
181,Suzuki,Aerio,1G4CW54K144298055,2002,2009-11-04,PO Box 90436
182,Toyota,Tacoma Xtra,WAUML64B53N070511,2002,2022-01-05,
183,Buick,LeSabre,WAUGL98E38A228510,1989,,
184,Kia,Sephia,1FBSS3BL8AD371995,1998,2022-06-21,
185,Mazda,MPV,3C3CFFHH9DT261438,,2016-11-25,
186,Mazda,B-Series,JN1BY1AR9EM045347,1991,2002-03-03,Apt 1125
187,Dodge,Ram 1500,WAUDF98E97A059084,1997,,
188,BMW,6 Series,1N4AL2AP1CN891738,,,
189,Volkswagen,Golf III,WBA3K5C52FK863534,1994,,Room 113
190,Chevrolet,Suburban 1500,KM8JT3AB2BU805454,1998,,Room 1896
191,Mazda,626,JTDKDTB31C1031035,1984,2001-02-04,Apt 636
192,Toyota,4Runner,1N4AL2AP7CC427185,,,PO Box 3218
193,Buick,Riviera,3VWPG3AG4AM691665,1998,,Suite 76
194,Buick,Coachbuilder,3N1BC1CP2CK966705,1995,,PO Box 96380
195,Ford,Probe,4T3BA3BB3CU623201,,,PO Box 85999
196,Volkswagen,Passat,1FTSW3B52AE548231,1987,2013-04-01,
197,Oldsmobile,Toronado,JN8AF5MR7CT310789,1966,2002-06-19,
198,Volkswagen,Routan,JTJBM7FX8D5195023,,2009-09-13,Apt 1259
199,Volkswagen,Jetta,JHMZE2H54DS479021,1999,2000-12-23,
200,Toyota,Tundra,4T1BK1EB2EU527651,2008,,PO Box 13915
201,Honda,Passport,1G6YX36D275133367,1999,,Suite 94
202,Mitsubishi,Eclipse,JH4CU2F62CC860329,1993,,
203,Audi,A4,1GKKRNED5CJ783827,2001,2022-03-14,PO Box 92702
204,Mitsubishi,Mirage,WAUGFAFR0EA992034,,2007-05-01,PO Box 20968
205,Buick,Park Avenue,3C63DRAL9CG092599,1998,2021-02-23,
206,Nissan,Leaf,JH4CU2F60BC641254,2012,2016-04-28,Apt 611
207,Mercury,Cougar,KL4CJCSB8FB872217,,,Room 916
208,Lincoln,Town Car,1N6AA0CA7BN096833,1988,,
209,Dodge,Grand Caravan,4T1BF3EK4AU144093,1999,,
210,Ford,F250,WBA3B1C55FP394466,2002,2014-10-19,
211,Honda,Civic,1G6DU6EVXA0492666,1994,,
212,Lincoln,MKZ,WBAEV33482K688020,2012,2017-04-10,
213,Suzuki,Vitara,1FTSW2A56AE542833,2004,,19th Floor
214,Jaguar,XJ,2C4RDGAG3CR559598,2006,2006-02-22,4th Floor
215,Chrysler,Town & Country,WVWED7AJ7DW960686,1999,2012-10-09,PO Box 6793
216,Ford,Econoline E150,1N6AF0KY1FN021776,2001,,PO Box 12500
217,Infiniti,I,3D73M4HL3AG501510,,,Apt 297
218,Mazda,Protege,SCFAB02A66G901167,,,
219,Ford,Crown Victoria,2B3CJ7DJ4BH775259,,2018-05-31,Room 1833
220,Pontiac,Firebird,JTEBU5JR5C5728018,1989,,
221,Subaru,Legacy,1G4GG5E31DF118163,2003,2000-12-31,Suite 31
222,Cadillac,Sixty Special,1N4AL2AP8CC991914,1993,,Room 778
223,Infiniti,G37,WAUPFBFM2BA645794,2011,,Suite 71
224,Ford,Ranger,3N1AB7AP8FL004444,1992,2019-04-11,Apt 381
225,GMC,Sierra 1500,JM1NC2MF8E0686044,2007,,Suite 82
226,Kia,Sorento,1GTN1TEH2FZ120910,2003,2018-11-14,PO Box 72774
227,Mazda,Mazda3,WAUEF78E07A959588,2011,,
228,Cadillac,CTS,TRUSX28NX11876480,2008,2007-12-07,
229,Merkur,XR4Ti,1FTEX1CW5AF760833,1985,,Apt 1078
230,Chevrolet,Avalanche 1500,1G6AH5R38D0178450,2002,2020-05-18,
231,Cadillac,DeVille,3C4PDDEG8ET809837,,,Room 1863
232,Toyota,Tundra,WAUHF98P79A923359,2012,2006-12-18,
233,Pontiac,Safari,1N6AA0CC1DN028807,1988,2014-03-15,Room 2
234,Jeep,Grand Cherokee,1GYFC43559R803583,2001,2013-06-24,Room 342
235,Honda,Civic,1G4GF5E35CF978794,1985,,Suite 33
236,Dodge,Nitro,4F2CY0C70AK416425,2007,2010-12-21,17th Floor
237,Ford,Expedition,WBANE53577C543704,,,
238,Suzuki,Grand Vitara,WAULFAFH2EN780606,2010,,
239,Mazda,626,2C4RVAAG9CR047340,1994,2014-02-25,
240,Maserati,Spyder,WA1YD54B94N000646,1989,2002-12-05,
241,Ford,E150,WAUMGBFL8AA351001,2012,,
242,Audi,V8,WBA3B5G50EN645938,1991,2013-03-16,Suite 35
243,Volkswagen,Cabriolet,1N4AA5AP9AC675068,,,Suite 74
244,Jaguar,S-Type,WBASN2C51AC429982,,,Room 1484
245,Saab,9-5,WAUKD78P49A582888,2009,,
246,Lexus,ES,WAULV44E87N186389,1996,,
247,Lexus,IS,4A31K2DF2CE920242,2012,,
248,Audi,A4,WAUMV94E98N919844,1999,2013-05-20,Room 194
249,Nissan,Maxima,1FMEU5BE9AU500306,2003,,
250,Chevrolet,Silverado 1500,WAUWGBFC9EN740527,2012,,
251,Jeep,Grand Cherokee,1FTSW2B55AE979978,2004,,
252,Dodge,Viper,3TMJU4GN7FM586414,,,
253,Nissan,Altima,2G61L5S32F9563911,1998,,
254,Toyota,MR2,WBANV93529C738619,2002,2005-10-14,10th Floor
255,Mazda,626,WBA3V7C55EP236590,1992,,
256,Mercedes-Benz,C-Class,5J6TF1H53DL756308,1993,2011-03-28,Suite 42
257,Porsche,Boxster,2C3CDXCT8EH535973,2006,,
258,BMW,M6,5N1AR2MM2FC178708,2009,2001-04-22,Room 424
259,Dodge,Ram Van 1500,WAUPL58E55A920224,1997,,4th Floor
260,Buick,Riviera,1GYS3DEF1DR022783,1993,,
261,Jeep,Cherokee,1FTWF3C53AE823654,2000,2003-12-24,
262,Kia,Rondo,3D4PG9FV8AT495766,2007,2014-10-26,Apt 1150
263,Buick,Roadmaster,1GD12YEG1FF702543,,2021-11-14,
264,Chevrolet,Suburban 1500,WBXPA93494W901341,1992,,
265,Pontiac,Bonneville,KMHFH4JG3FA144405,1992,,
266,Nissan,240SX,WBAFR1C55BD110158,1996,2003-06-04,
267,Honda,Pilot,WBA6A0C54DD001825,2002,2013-04-26,9th Floor
268,Mercedes-Benz,E-Class,WBAYF8C54DD333188,2010,,
269,Honda,S2000,KNAGM4AD8F5507426,2007,2011-06-09,
270,Oldsmobile,88,WAUVVAFR6BA086573,1995,,Apt 1711
271,Pontiac,Bonneville,JN8AE2KP3B9818742,2003,,Apt 1519
272,Suzuki,Daewoo Lacetti,WBAPH5C54AA260549,2007,2011-07-04,Suite 97
273,Acura,TL,YV126MFC8F2401450,1999,2010-09-17,
274,Audi,A6,KL4CJASB4EB249079,2000,2016-02-19,Suite 1
275,Porsche,911,SCFEBBCF4BG390768,1989,,PO Box 11960
276,Chevrolet,Prizm,1G6AA5RA6F0258450,1999,2006-12-09,
277,Lamborghini,Diablo,1FTFW1E89AF526751,1990,,
278,Volvo,C70,WAUAFAFH8DN101573,2012,,5th Floor
279,Toyota,Sequoia,3N1BC1AP4BL502035,2008,,
280,Hyundai,Santa Fe,WVGAK7A96AD553780,2006,,Suite 63
281,Chevrolet,Suburban,19XFB2E59EE281413,2011,2011-03-29,PO Box 62169
282,Volkswagen,Fox,1FTEX1EW9AK766087,1989,2015-01-04,
283,Buick,Regal,JTHFF2C28E2731626,2001,2016-10-01,
284,Honda,Civic,3D7JB1EK5BG121030,,,Room 694
285,Chrysler,Fifth Ave,JN8AF5MR2DT663720,,,PO Box 61083
286,GMC,Terrain,JN8AE2KPXE9153746,2012,,PO Box 20687
287,Chevrolet,Express 2500,2C4RRGAG3DR927331,1999,,Suite 66
288,Mitsubishi,Pajero,WBAYE8C51ED806257,2004,,
289,Pontiac,Turbo Firefly,WAUUL78E55A787740,1990,2007-02-21,
290,Ferrari,599 GTB Fiorano,KM8NU4CCXBU493314,2009,2000-03-04,
291,Ford,Escort,1C4NJCBA8ED554977,,,
292,Hyundai,XG300,3D73M4EL5BG546891,2001,2011-12-15,
293,Plymouth,Prowler,WUAW2BFC6EN741154,1997,2007-05-16,20th Floor
294,Land Rover,Range Rover Sport,ZFBCFADH5FZ437372,2012,,
295,Mercedes-Benz,500SEL,WAUEH94F98N785082,1993,2016-09-21,
296,Chevrolet,Avalanche 1500,NM0AS8F72E1025398,2002,,PO Box 64552
297,Dodge,Spirit,2C3CCAFJ2DH823979,,2004-09-30,6th Floor
298,Aptera,Typ-1,5TDBK3EH3BS390577,2008,2005-01-22,
299,Toyota,Previa,2D4JN1AG9BR352092,1994,2006-04-04,
300,Mercury,Monterey,WBANF33577B137395,2006,2018-01-17,2nd Floor
301,GMC,Savana 3500,WAULC58EX3A552179,,2009-12-09,Apt 867
302,Toyota,Prius,5N1AT2ML3FC557855,2001,,
303,Jeep,Wrangler,WDDEJ7KB9BA708051,2009,2008-07-20,Room 121
304,Toyota,T100 Xtra,2G4GK5EX0F9734501,1997,2013-08-03,17th Floor
305,Rolls-Royce,Phantom,WBA3B1G59FN578315,2012,,
306,Lexus,GX,WAUGFAFR8AA083923,2010,,
307,Buick,LeSabre,JH4DC43541S863444,,2006-05-06,
308,Jeep,Grand Cherokee,WBA3G7C53FK643459,1997,,
309,Spyker,C8 Laviolette,1N6AA0CA4CN608615,2004,2019-01-06,18th Floor
310,Lotus,Elan,SCBFT7ZA2FC523777,1994,2020-10-13,Room 1824
311,Maybach,57,JH4KC1F73EC784981,,,19th Floor
312,Chevrolet,Colorado,1VWAP7A36EC376643,2007,2003-01-08,Apt 931
313,Lamborghini,Gallardo,WBAVA33548K506424,2008,2022-01-17,
314,Chevrolet,Impala,3FAHP0HA0AR011342,1995,,
315,Chevrolet,S10,1G6DJ5EV2A0566942,1992,2022-01-06,
316,Foose,Hemisfear,3VW4A7AT2DM095502,2007,,PO Box 20278
317,BMW,X6 M,WAUHFAFL4AA411452,2011,2015-05-03,Room 162
318,Mitsubishi,Mirage,WAUEH98E17A943518,,,Apt 690
319,Volkswagen,riolet,1FTEX1CM1BK099762,1993,,
320,Dodge,Ram Van 1500,1GD020CG7DZ664215,1997,,
321,Ford,Bronco II,1G4GC5G32EF442314,1989,2001-04-23,Suite 61
322,Buick,Riviera,5N1AR2MM4DC001297,1997,2009-06-16,Apt 710
323,Volkswagen,Passat,1G6DR57V380389513,,,
324,Oldsmobile,Aurora,1GYEC63898R468506,2001,2013-11-11,
325,Mazda,Navajo,JTHDL5EF8F5553394,1993,,Suite 38
326,Audi,V8,WBADT63453C908499,1990,,13th Floor
327,GMC,3500,WA1EY94L77D954314,1998,2000-08-10,Apt 1317
328,Audi,A3,1GYS4DEF0DR787545,2009,,
329,Audi,5000CS Quattro,WAULT58E35A610944,1986,,
330,Ford,Lightning,1G4HP52K954378968,1994,,
331,Ford,Mustang,JN1BY1AP6EM273725,2000,,Suite 67
332,Kia,Optima,WAUNF98P88A906409,,2006-11-28,Room 1656
333,Infiniti,G,WAUVC68E32A923051,1996,2011-08-13,
334,BMW,Z3,KNAFX6A87E5273974,,2011-12-03,
335,Ford,F250,JH4NA21684S824161,1994,2018-09-26,
336,Aston Martin,Vantage,5J8TB4H39FL736893,2008,,15th Floor
337,Cadillac,CTS-V,1C4RDHAG4EC993952,2012,,
338,Mercedes-Benz,SLK-Class,WBSPM9C55BE437876,2002,2020-03-13,PO Box 44440
339,BMW,1 Series,1FTEX1C8XAK894584,2008,,Suite 83
340,Mercedes-Benz,G-Class,WBAGL835X5D568670,2011,2013-05-16,Room 1372
341,Toyota,Celica,WAUHGAFC6FN639921,2001,,
342,Maserati,Biturbo,WBALX3C59CD984048,1984,2002-10-26,
343,Nissan,Maxima,5NPDH4AE7BH033708,2006,,
344,GMC,Sierra 3500,2GKALMEK4C6097488,2001,,
345,Plymouth,Grand Voyager,1GYS4BEF8BR417493,1994,2012-01-13,
346,Pontiac,Firebird,1G4GF5G30FF767147,2001,2001-06-25,
347,Geo,Metro,JTDKTUD35DD426647,1993,2001-07-04,
348,Buick,Skylark,WBAUL7C51CV534895,1985,,
349,Pontiac,Firebird Trans Am,WBAKF3C57DJ349461,1986,,Suite 50
350,Acura,MDX,WBAWR33569P380052,2011,,PO Box 16845
351,Saturn,Ion,WBA3B9C5XFJ463203,2003,2018-09-05,
352,Ford,Laser,1C3CCBCG2EN895580,1984,,
353,Lincoln,MKX,WBANU53518C205008,2012,,
354,Chevrolet,Cavalier,YV4852CZ3B1147854,2003,2003-12-10,Apt 1123
355,Dodge,Ram Van 3500,1B3CB2HA0AD748193,1996,,
356,Eagle,Vision,WBSDX9C54DE852636,1994,2009-07-05,
357,BMW,530,1N4AL3AP8EC143928,2007,,
358,GMC,Sierra 2500,WBA6B8C51FD330013,,2016-03-30,Room 1480
359,Mercury,Tracer,2C3CDXBG8DH099807,1999,2011-09-07,PO Box 72826
360,Hummer,H3T,WDDPK4HA3DF912790,2010,,PO Box 80954
361,Volkswagen,Golf,1C6RD6MT0CS043160,1992,,
362,Honda,Pilot,WBAAW33441E835684,2008,2013-03-19,Suite 85
363,Pontiac,Bonneville,1GYFC56249R434786,1993,2009-03-07,
364,Subaru,Outback,1GD120EG1BF306334,2008,,
365,Ford,Aspire,WAUVC68E95A015224,1994,2022-05-20,
366,GMC,Acadia,JN1BJ0HR0DM157294,2012,,
367,Ford,F-Series Super Duty,2C3CDXFG9FH016320,2009,2008-06-15,19th Floor
368,Saab,900,1GD01ZCG2DF804969,1995,,
369,Lotus,Elise,JN1CV6AP9CM367721,2005,,
370,Pontiac,6000,1N6AF0LX1FN373620,1990,2017-06-04,PO Box 94516
371,Mercedes-Benz,E-Class,1G6DJ577390699302,1992,2009-03-21,
372,BMW,5 Series,KMHTC6AD2DU977112,2008,2013-05-24,
373,Chevrolet,Camaro,WBAPM73589A575101,1974,2017-11-01,
374,Land Rover,Range Rover,1N6AA0CC1DN662618,2012,2000-07-23,16th Floor
375,Chrysler,Town & Country,4T1BF1FK6EU123271,2011,,Room 1004
376,Honda,Pilot,3GYFNAE39ES570755,,,16th Floor
377,Ford,F-Series,JN1AZ4EH3FM410067,1988,2010-04-19,
378,Chevrolet,Silverado 3500,JH4CU4F48AC607832,2003,2022-12-25,4th Floor
379,Ford,Expedition,1GYFK43858R775618,1997,2000-01-22,
380,Mercury,Grand Marquis,WVGAV3AX5EW676849,,2015-01-09,PO Box 38443
381,GMC,Jimmy,WAUDG78E36A802001,,2021-01-12,Apt 975
382,Lincoln,Continental,SCFBB03B88G254205,,2018-06-17,Apt 1178
383,Rolls-Royce,Phantom,19XFA1E53BE388501,2010,2011-03-03,Apt 1596
384,Mercedes-Benz,CL-Class,2G4WC582191120908,2008,,Apt 1313
